name,tdp
AMD A10-9700,65.0
AMD A10-9700E,35.0
AMD A12-9800,65.0
AMD A12-9800E,35.0
AMD A6-7480,45.0
AMD A6-9120C SoC,6.0
AMD A6-9220C SoC,6.0
AMD A6-9400,65.0
AMD A6-9550,65.0
AMD A8-7680,45.0
AMD A8-9600,65.0
AMD Athlon 200GE,35.0
AMD Athlon 220GE,35.0
AMD Athlon 240GE,35.0
AMD Athlon 3000G,35.0
AMD Athlon 300U,15.0
AMD Athlon Gold 3150G,65.0
AMD Athlon Gold 3150GE,35.0
AMD Athlon Gold 7220U,15.0
AMD Athlon Gold PRO 3150G,65.0
AMD Athlon Gold PRO 3150GE,35.0
AMD Athlon PRO 200GE,35.0
AMD Athlon PRO 300U,15.0
AMD Athlon Silver 3050GE,35.0
AMD Athlon Silver 7120U,15.0
AMD Athlon Silver PRO 3125GE,35.0
AMD Athlon X4 940,65.0
AMD Athlon X4 950,65.0
AMD Athlon X4 970,65.0
AMD EPYC 7232P,120.0
AMD EPYC 7251,
AMD EPYC 7252,120.0
AMD EPYC 7261,
AMD EPYC 7262,155.0
AMD EPYC 7272,120.0
AMD EPYC 7281,
AMD EPYC 7282,120.0
AMD EPYC 72F3,180.0
AMD EPYC 7301,
AMD EPYC 7302,155.0
AMD EPYC 7302P,155.0
AMD EPYC 7313,155.0
AMD EPYC 7313P,155.0
AMD EPYC 7343,190.0
AMD EPYC 7351,
AMD EPYC 7351P,
AMD EPYC 7352,155.0
AMD EPYC 7371,
AMD EPYC 7373X,240.0
AMD EPYC 73F3,240.0
AMD EPYC 7401,
AMD EPYC 7401P,
AMD EPYC 7402,180.0
AMD EPYC 7402P,180.0
AMD EPYC 7413,180.0
AMD EPYC 7443,200.0
AMD EPYC 7443P,200.0
AMD EPYC 7451,
AMD EPYC 7452,155.0
AMD EPYC 7453,225.0
AMD EPYC 7473X,240.0
AMD EPYC 74F3,240.0
AMD EPYC 7501,
AMD EPYC 7502,180.0
AMD EPYC 7502P,180.0
AMD EPYC 7513,200.0
AMD EPYC 7532,
AMD EPYC 7542,225.0
AMD EPYC 7543,225.0
AMD EPYC 7543P,225.0
AMD EPYC 7551,
AMD EPYC 7551P,
AMD EPYC 7552,200.0
AMD EPYC 7571,200.0
AMD EPYC 7573X,280.0
AMD EPYC 75F3,280.0
AMD EPYC 7601,
AMD EPYC 7642,225.0
AMD EPYC 7643,225.0
AMD EPYC 7662,
AMD EPYC 7663,240.0
AMD EPYC 7702,200.0
AMD EPYC 7702P,200.0
AMD EPYC 7713,225.0
AMD EPYC 7713P,225.0
AMD EPYC 7742,225.0
AMD EPYC 7763,280.0
AMD EPYC 7773X,280.0
AMD EPYC 7F32,180.0
AMD EPYC 7F52,155.0
AMD EPYC 7F72,240.0
AMD EPYC 7H12,280.0
AMD EPYC 7R13,225.0
AMD EPYC 7R32,280.0
AMD EPYC 9124,200.0
AMD EPYC 9174F,320.0
AMD EPYC 9224,200.0
AMD EPYC 9254,200.0
AMD EPYC 9274F,320.0
AMD EPYC 9334,210.0
AMD EPYC 9354,280.0
AMD EPYC 9354P,280.0
AMD EPYC 9374F,320.0
AMD EPYC 9454,290.0
AMD EPYC 9454P,290.0
AMD EPYC 9474F,360.0
AMD EPYC 9534,280.0
AMD EPYC 9554,360.0
AMD EPYC 9554P,360.0
AMD EPYC 9634,290.0
AMD EPYC 9654,360.0
AMD EPYC 9654P,360.0
AMD EPYC Embedded 3101,35.0
AMD EPYC Embedded 3151,45.0
AMD EPYC Embedded 3201,30.0
AMD EPYC Embedded 3251,55.0
AMD EPYC Embedded 3255,55.0
AMD EPYC Embedded 3351,80.0
AMD EPYC Embedded 3451,100.0
AMD EPYC Embedded 9124,200.0
AMD EPYC Embedded 9254,200.0
AMD EPYC Embedded 9354,280.0
AMD EPYC Embedded 9354P,280.0
AMD EPYC Embedded 9454,290.0
AMD EPYC Embedded 9454P,290.0
AMD EPYC Embedded 9554,360.0
AMD EPYC Embedded 9554P,360.0
AMD EPYC Embedded 9654,360.0
AMD EPYC Embedded 9654P,360.0
AMD PRO A10-9700,65.0
AMD PRO A12-9800E,35.0
AMD PRO A6-8570,65.0
AMD PRO A6-8570E,65.0
AMD Ryzen 3 1200,65.0
AMD Ryzen 3 1300X,65.0
AMD Ryzen 3 2200G,65.0
AMD Ryzen 3 2200GE,35.0
AMD Ryzen 3 2200U,15.0
AMD Ryzen 3 2300U,15.0
AMD Ryzen 3 2300X,65.0
AMD Ryzen 3 3100,65.0
AMD Ryzen 3 3200G,65.0
AMD Ryzen 3 3200GE,35.0
AMD Ryzen 3 3200U,15.0
AMD Ryzen 3 3250U,15.0
AMD Ryzen 3 3300U,15.0
AMD Ryzen 3 3300X,65.0
AMD Ryzen 3 4100,65.0
AMD Ryzen 3 4300G,65.0
AMD Ryzen 3 4300GE,35.0
AMD Ryzen 3 4300U,25.0
AMD Ryzen 3 5125C,15.0
AMD Ryzen 3 5300G,65.0
AMD Ryzen 3 5300U,15.0
AMD Ryzen 3 5400U,15.0
