name,tdp
AArch64 rev 2 (aarch64),0.0
AArch64 rev 4 (aarch64),0.0
AC8257V/WAB,0.0
AMD 3015Ce,6.0
AMD 3015e,6.0
AMD 3020e,6.0
AMD 4700S,0.0
AMD A10 Micro-6700T APU,5.0
AMD A10 PRO-7350B APU,19.0
AMD A10 PRO-7800B APU,65.0
AMD A10 PRO-7850B APU,95.0
AMD A10-4600M APU,35.0
AMD A10-4655M APU,25.0
AMD A10-4657M APU,35.0
AMD A10-5700 APU,65.0
AMD A10-5745M APU,25.0
AMD A10-5750M APU,35.0
AMD A10-5757M APU,35.0
AMD A10-5800B APU,100.0
AMD A10-5800K APU,100.0
AMD A10-6700 APU,65.0
AMD A10-6700T APU,45.0
AMD A10-6790K APU,100.0
AMD A10-6800B APU,100.0
AMD A10-6800K APU,100.0
AMD A10-7300 APU,19.0
AMD A10-7400P,35.0
AMD A10-7700K APU,95.0
AMD A10-7800 APU,65.0
AMD A10-7850K APU,95.0
AMD A10-7860K,65.0
AMD A10-7870K,95.0
AMD A10-7890K,95.0
AMD A10-8700P,35.0
AMD A10-8750,65.0
AMD A10-8850,0.0
AMD A10-9600P,15.0
AMD A10-9620P,15.0
AMD A10-9630P,35.0
AMD A10-9700,65.0
AMD A10-9700E,35.0
AMD A12-9700P,15.0
AMD A12-9720P,15.0
AMD A12-9730P,35.0
AMD A12-9800,65.0
AMD A12-9800E,35.0
AMD A4 Micro-6400T APU,4.5
AMD A4 PRO-3340B,25.0
AMD A4 PRO-7300B APU,65.0
AMD A4 PRO-7350B,65.0
AMD A4-1200 APU,3.9
AMD A4-1250 APU,8.0
AMD A4-3300 APU,65.0
AMD A4-3300M APU,65.0
AMD A4-3305M APU,35.0
AMD A4-3310MX APU,45.0
AMD A4-3320M APU,35.0
AMD A4-3330MX APU,45.0
AMD A4-3400 APU,65.0
AMD A4-3420 APU,65.0
AMD A4-4000 APU,65.0
AMD A4-4020 APU,65.0
AMD A4-4300M APU,35.0
AMD A4-4355M APU,17.0
AMD A4-5000 APU,15.0
AMD A4-5050 APU,13.5
AMD A4-5100 APU,15.0
AMD A4-5150M APU,35.0
AMD A4-5300 APU,65.0
AMD A4-5300B APU,65.0
AMD A4-6210 APU,15.0
AMD A4-6250J APU,25.0
AMD A4-6300 APU,65.0
AMD A4-6300B APU,65.0
AMD A4-6320 APU,65.0
AMD A4-7210 APU,25.0
AMD A4-7300 APU,65.0
AMD A4-9120,15.0
AMD A4-9120C,6.0
AMD A4-9120e,0.0
AMD A4-9125,15.0
AMD A6 Micro-6500T APU,0.0
AMD A6 PRO-7050B APU,17.0
AMD A6 PRO-7400B,65.0
AMD A6-1450 APU,8.0
AMD A6-3400M APU,35.0
AMD A6-3410MX APU,45.0
AMD A6-3420M APU,35.0
AMD A6-3430MX APU,45.0
AMD A6-3500 APU,65.0
AMD A6-3600 APU,65.0
AMD A6-3620 APU,65.0
AMD A6-3650 APU,100.0
AMD A6-3670 APU,100.0
AMD A6-4400M APU,35.0
AMD A6-4455M APU,17.0
AMD A6-5200 APU,25.0
AMD A6-5345M APU,17.0
AMD A6-5350M APU,35.0
AMD A6-5357M APU,35.0
AMD A6-5400B APU,65.0
AMD A6-5400K APU,65.0
AMD A6-6310 APU,15.0
AMD A6-6400B APU,65.0
AMD A6-6400K APU,65.0
AMD A6-6420B APU,65.0
AMD A6-6420K APU,65.0
AMD A6-7000,17.0
AMD A6-7310 APU,25.0
AMD A6-7400K APU,65.0
AMD A6-7470K,65.0
AMD A6-7480,65.0
AMD A6-8500P,15.0
AMD A6-8550,65.0
AMD A6-9200,10.0
AMD A6-9210,15.0
AMD A6-9220,15.0
AMD A6-9220C,6.0
AMD A6-9220e,0.0
AMD A6-9225,15.0
AMD A6-9230,15.0
AMD A6-9400,10.0
AMD A6-9500,65.0
AMD A6-9500E,35.0
AMD A8 PRO-7150B APU,19.0
AMD A8 PRO-7600B APU,65.0
AMD A8-3500M APU,35.0
AMD A8-3510MX APU,45.0
AMD A8-3520M APU,35.0
AMD A8-3530MX APU,45.0
AMD A8-3550MX APU,45.0
AMD A8-3800 APU,65.0
AMD A8-3820 APU,65.0
AMD A8-3850 APU,100.0
AMD A8-3870K APU,100.0
AMD A8-4500M APU,35.0
AMD A8-4555M APU,19.0
AMD A8-5500 APU,65.0
AMD A8-5500B APU,65.0
AMD A8-5545M APU,19.0
AMD A8-5550M APU,35.0
AMD A8-5557M APU,35.0
AMD A8-5600K APU,100.0
AMD A8-6410 APU,15.0
AMD A8-6500 APU,65.0
AMD A8-6500B APU,65.0
AMD A8-6500T APU,45.0
AMD A8-6600K APU,100.0
AMD A8-7050,15.0
AMD A8-7100 APU,19.0
AMD A8-7200P,35.0
AMD A8-7410 APU,25.0
AMD A8-7500,65.0
AMD A8-7600 APU,65.0
AMD A8-7650K,65.0
AMD A8-7670K,95.0
AMD A8-7680,45.0
AMD A8-8600P,15.0
AMD A8-8650,65.0
AMD A8-9600,65.0
AMD A9-9400,10.0
AMD A9-9410,25.0
AMD A9-9420,15.0
AMD A9-9420e,0.0
AMD A9-9425,15.0
AMD A9-9430,0.0
AMD A9-9820,0.0
AMD Athlon 1500+,0.0
AMD Athlon 1640B,45.0
AMD Athlon 200GE,35.0
AMD Athlon 220GE,35.0
AMD Athlon 240GE,35.0
AMD Athlon 2650e,15.0
AMD Athlon 2800+,89.0
AMD Athlon 2850e,22.0
AMD Athlon 3000G,35.0
AMD Athlon 300GE,35.0
AMD Athlon 300U,15.0
AMD Athlon 320GE,35.0
AMD Athlon 5000 Dual-Core,65.0
AMD Athlon 5150 APU,25.0
AMD Athlon 5200 Dual-Core,75.0
AMD Athlon 5350 APU,25.0
AMD Athlon 5370 APU,25.0
AMD Athlon 64 2000+,8.0
AMD Athlon 64 2600+,15.0
AMD Athlon 64 2800+,89.0
AMD Athlon 64 3000+,89.0
AMD Athlon 64 3100+,89.0
AMD Athlon 64 3200+,62.0
AMD Athlon 64 3300+,0.0
AMD Athlon 64 3400+,89.0
AMD Athlon 64 3500+,45.0
AMD Athlon 64 3700+,89.0
AMD Athlon 64 3800+,45.0
AMD Athlon 64 4000+,62.0
AMD Athlon 64 FX-55,104.0
AMD Athlon 64 FX-57,104.0
AMD Athlon 64 FX-59,0.0
AMD Athlon 64 FX-60 Dual Core,110.0
AMD Athlon 64 FX-62 Dual Core,125.0
AMD Athlon 64 FX-74,125.0
AMD Athlon 64 X2 3800+,89.0
AMD Athlon 64 X2 Dual Core 3400+,89.0
AMD Athlon 64 X2 Dual Core 3600+,65.0
AMD Athlon 64 X2 Dual Core 3800+,89.0
AMD Athlon 64 X2 Dual Core 4000+,65.0
AMD Athlon 64 X2 Dual Core 4200+,89.0
AMD Athlon 64 X2 Dual Core 4400+,65.0
AMD Athlon 64 X2 Dual Core 4600+,65.0
AMD Athlon 64 X2 Dual Core 4800+,65.0
AMD Athlon 64 X2 Dual Core 5000+,65.0
AMD Athlon 64 X2 Dual Core 5200+,65.0
AMD Athlon 64 X2 Dual Core 5400+,65.0
AMD Athlon 64 X2 Dual Core 5600+,89.0
AMD Athlon 64 X2 Dual Core 5800+,89.0
AMD Athlon 64 X2 Dual Core 6000+,89.0
AMD Athlon 64 X2 Dual Core 6400+,125.0
AMD Athlon 64 X2 Dual Core BE-2300,45.0
AMD Athlon 64 X2 Dual Core BE-2350,45.0
AMD Athlon 64 X2 Dual-Core TK-42,20.0
AMD Athlon 64 X2 Dual-Core TK-53,31.0
AMD Athlon 64 X2 Dual-Core TK-55,35.0
AMD Athlon 64 X2 Dual-Core TK-57,31.0
AMD Athlon 64 X2 QL-60,35.0
AMD Athlon 64 X2 QL-62,35.0
AMD Athlon 64 X2 QL-64,35.0
AMD Athlon 64 X2 QL-65,35.0
AMD Athlon 64 X2 QL-66,35.0
AMD Athlon 64 X2 QL-67,35.0
AMD Athlon 7450 Dual-Core,95.0
AMD Athlon 7550 Dual-Core,95.0
AMD Athlon 7750 Dual-Core,95.0
AMD Athlon 7850 Dual-Core,95.0
AMD Athlon Dual Core 4050e,45.0
AMD Athlon Dual Core 4450B,45.0
AMD Athlon Dual Core 4450e,45.0
AMD Athlon Dual Core 4850B,45.0
AMD Athlon Dual Core 4850e,45.0
